Link;Authors/Publication Entity;Year of publication;Authors;Short description (shortened)
https://www.publications.usace.army.mil/Portals/76/Users/182/86/2486/EP-1100-2-1.pdf;USACE;2019;USACE (2019);An engineering pamphlet offering procedural guidance for analyzing future sea level change (SLC) impacts on USACE projects. It focuses on assessing physical and ecological risks, but not as formal planning guidance.
https://adaptnrm.csiro.au/wp-content/uploads/2014/06/AdaptNRM-Adapt-Planning-Tech-Guide1.pdf;Rissik et al. / CSIRO and NCCARF;2014;Rissik et al. (2014);A technical guide for Australian natural resource managers on adaptation planning. It addresses challenges intensified by climate change and outlines a flexible planning framework to remain effective under changing conditions.
https://ukwir.org/WRMP-2019-Methods-Decision-Making-Process-Guidance;Baker et al./UKWIR;2019;Baker et al. (2019);Guidance for decision-making in water resource management, focusing on investment appraisal and optimization for long-term planning. The framework emphasizes sustainability and robustness in resource allocation.
https://www.pathways2resilience.eu/docs/delivrable/101093942_P2R_D6.3.pdf;P2R project;2024;Pathways2Resilience (2024);Pathways2Resilience project guidance outlines a step-by-step Regional Resilience Journey framework. It includes climate strategy, action, and finance plans, tailored for project managers and technical experts. Scenarios are addressed briefly.
https://handbook.climaax.eu/CRA_steps/CRM.html;Polster et al. / Climaax;2024;Polster et a. (2024);A handbook on quantifying climate risks for hazards like floods, droughts, and heatwaves. It includes tools for customizing and uploading CRAs (climate risk assessments), fostering iterative learning with future scenario exploration.
https://www.pbl.nl/en/publications/guidance-for-uncertainty-assessment-and-communication;Petersen et al. (2013) / PBL Netherlands Environmental Assessment Agency;2013;Petersen et al. (2013);Guidance on managing and communicating uncertainty in assessments. It supports analysts in addressing critical uncertainties, framing problems, and involving stakeholders, leading to better decision-making under uncertainty.
https://doi.org/10.1007/978-3-031-07682-4;van den Ende et al. / University of Utrecht;2021;van den Ende et al. (2021);A step-by-step guide on engaging citizens in foresight exercises to build climate-resilient futures. It includes methods like exploratory scenarios, pathways, and case studies from multiple European countries.
http://dx.doi.org/10.13140/RG.2.2.15554.81601/1;Wardekker et al. / CoCliServ project;2020;Wardekker et al. (2020);This approach integrates incremental, participatory scenario planning with local communities to develop desirable futures. It inventories 'hinge points' for critical challenges and uses real-world case studies to refine methods.
https://deepsouthchallenge.co.nz/resource/decision-making-uncertain-world/;Curran et al.;2023;Curran et al. (2023);A guide for planning under uncertainty, offering methods for decision-making in sectors like land-use, infrastructure, and coastal adaptation. It distinguishes between creation and analysis approaches, with examples from various fields.
https://dkkv.org/en/topics/serious-games-eng/;Abad et al. / ESPREssO;2018;Abad et al. (2018);The serious game 'RAMSETE III' simulates crisis management decision-making under uncertainty. Players collaborate to handle evacuation timing during a storm, learning effective communication and strategic planning in critical situations.
https://doi.org/10.1016/j.proeng.2016.08.185;Onencan et al.;2016;Onencan et al. (2016);WeShareIt' is a collaborative board game for policymakers to balance energy, food, and nature needs at basin and national levels. Players explore strategies to strengthen collaboration and prepare for future uncertainties.
https://www.deltares.nl/en/software-and-data/products/sustainable-delta-game;Deltares;?;Deltares (2016);Sustainable Delta' is a serious game for stakeholders to understand water systems and plan restoration measures. Teams develop a water management plan addressing challenges like flooding and drought in fictional river settings.
https://waterprogramming.wordpress.com/;Diverse;when did it start? Question to Dave?;Water Programming Blog (n.d.);A blog by Pat Reed's team at Cornell focusing on computational approaches like Multiobjective Evolutionary Algorithms, simulation models, and visualization for solving complex planning problems.
http://dx.doi.org/10.18235/0003042;Lempert et al. / Inter-American Development Bank;2021;Lempert et al. (2021);A guide for incorporating Decision Making Under Deep Uncertainty (DMDU) into transportation planning. It reviews methods like scenario planning and Adaptive Pathways, with steps for applying these techniques to IDB projects.
https://doi.org/10.5281/zenodo.6110623;;2024;Reed et al. (2024);This guidance text has been developed in support of the Integrated Multisector Multiscale Modeling (IM3) Science Focus Area’s objective to formally integrate uncertainty into its research tasks. The guidance offers a deep-dive into methods to be used for sensitivity analysis and exploration of uncertainty. Along the introduction of the underlying concepts, the resource offers tutorials for the application.
https://doi.org/10.1007/978-3-030-05252-2;;2019;Marchau et al. (2019);This can be seen as the general introduction to DMDU. It offers insights into the underlying concepts and provides examples for all relevant cases
https://doi.org/10.1016/j.envsoft.2024.106269;;2025;Bonham et al. (2025);This scientific resource reviews existing vulnerability analysis approaches in the context of DMDU to offer a taxonomy and different use purposes
https://doi.org/10.1596/978-1-4648-0477-9 ;;2015;Ray & Brown (2015);This guidance was developed to introduce a climate stress-testing methodology for water resource managenet infrastrucutre. It offers insights in the funcamental concepts, the how-to guidance and a specific case for illustration. Furthermore high-level information are provided regarding other DMDU methologies.
